id,ad,sehir,kategori,fiyat_seviyesi,puan,etiketler,enlem,boylam
1,Karabatak Karakoy,Istanbul,kafe,2,4.6,sessiz kahve tatli calisma,41.0258,28.9795
2,Coffee Sapiens,Istanbul,kafe,2,4.7,kahve sessiz calisma nitelikli,41.0252,28.9782
3,Mandabatmaz,Istanbul,kafe,1,4.8,turk_kahvesi tarihi nostaljik otantik,41.0322,28.9765
4,Montag Coffee Roasters,Istanbul,kafe,2,4.5,kahve calisma modern ferah,40.9898,29.0265
5,Story Coffee Roasters,Istanbul,kafe,2,4.6,sessiz kahve kahvalti calisma,40.9855,29.0278
6,Cikolataci Ali Usta,Istanbul,kafe,2,4.7,tatli cikolata nostaljik samimi,40.9832,29.0295
7,Petra Roasting Co.,Istanbul,kafe,3,4.6,kahve modern sanat brunch,41.0535,28.995
8,Assk Kahve,Istanbul,kafe,4,4.5,deniz_manzarasi luks romantik kahvalti,41.0772,29.0435
9,Minoa Books & Coffee,Istanbul,kafe,2,4.8,kitap sessiz calisma kahve,41.0425,29.004
10,Cinaralti Cay Bahcesi,Istanbul,kafe,1,4.6,deniz_manzarasi cay tarihi nostaljik,41.052,29.0525
11,Ciya Sofrasi,Istanbul,restoran,2,4.8,anadolu otantik yoresel aile,40.9892,29.0245
12,Basta Street Food Bar,Istanbul,restoran,2,4.7,durum gurme hizli lezzetli,40.9875,29.028
13,Karakoy Lokantasi,Istanbul,restoran,3,4.7,meze tarihi raki nostaljik,41.0245,28.9775
14,Mikla Restaurant,Istanbul,restoran,4,4.9,manzara luks gurme fine_dining,41.0305,28.9745
15,Tarihi Sultanahmet Koftecisi,Istanbul,restoran,2,4.6,kofte tarihi geleneksel aile,41.0082,28.9772
16,Balkan Lokantasi,Istanbul,restoran,1,4.4,ev_yemegi ucuz hizli doyurucu,41.043,29.006
17,Spago Istanbul,Istanbul,restoran,4,4.7,teras luks romantik manzara,41.0505,28.992
18,Lucca Style,Istanbul,restoran,4,4.5,kokteyl luks populer gece_hayati,41.0785,29.0425
19,Tarihi Ortakoy Kumpircisi,Istanbul,restoran,2,4.5,kumpir deniz sokak_lezzeti hizli,41.0475,29.027
20,Kanaat Lokantasi,Istanbul,restoran,2,4.6,osmanli zeytinyagli tatli tarihi,41.0265,29.016
21,Galata Kulesi,Istanbul,gezi,3,4.8,tarihi manzara fotograf panoramik,41.0256,28.9741
22,Istiklal Caddesi,Istanbul,gezi,1,4.5,alisveris yuruyus nostaljik tramvay,41.034,28.978
23,Sultanahmet Meydani,Istanbul,gezi,1,4.7,tarihi meydan turist fotograf,41.0065,28.976
24,Moda Sahil Parki,Istanbul,gezi,1,4.8,deniz gunbatimi yuruyus cimler,40.981,29.0275
25,Bebek Parki ve Sahili,Istanbul,gezi,1,4.7,bogaz yuruyus yesillik ferah,41.076,29.042
26,Ortakoy Meydani ve Iskele,Istanbul,gezi,1,4.7,bogaz kopru fotograf turist,41.047,29.0275
27,Salacak Sahili ve Kiz Kulesi,Istanbul,gezi,1,4.8,deniz_manzarasi gunbatimi ikonik romantik,41.021,29.004
28,Dolmabahce Sahil Yolu,Istanbul,gezi,1,4.6,tarihi bogaz agacli yuruyus,41.039,28.998
29,Istanbul Modern Sanat Muzesi,Istanbul,kultur,3,4.8,sanat sergi cagdas modern mimari,41.026,28.983
30,Pera Muzesi,Istanbul,kultur,2,4.7,sanat sergi oryantalist tarihi,41.0315,28.975
31,Salt Galata,Istanbul,kultur,1,4.9,kutuphane sessiz mimari calisma tarihi,41.0242,28.9738
32,Ayasofya-i Kebir Camii,Istanbul,kultur,1,4.9,tarihi mimari ikonik dunya_mirasi,41.0086,28.9802
33,Yerebatan Sarnici,Istanbul,kultur,3,4.8,tarihi gizemli atmosferik sutunlar,41.0084,28.9778
34,Topkapi Sarayi Muzesi,Istanbul,kultur,4,4.8,osmanli tarihi saray muazzam,41.0115,28.9833
35,Deniz Muzesi,Istanbul,kultur,2,4.6,denizcilik tarihi saltanat_kayiklari,41.0415,29.0055
36,Sureyya Operasi,Istanbul,kultur,2,4.7,sanat opera bale tarihi mimari,40.9885,29.0298
37,Yildiz Parki,Istanbul,doga,1,4.7,koru yesillik gol yuruyus sessiz,41.049,29.015
38,Gulhane Parki,Istanbul,doga,1,4.7,tarihi agaclar lale bahce golge,41.013,28.9815
39,Emirgan Korusu,Istanbul,doga,1,4.8,lale bogaz_manzarasi kosu agaclar,41.108,29.053
40,Fethi Pasa Korusu,Istanbul,doga,1,4.6,bogaz manzarasi yesillik cay sessiz,41.0325,29.028
